CRASH_RECORD_ID,CRASH_DATE,WEATHER_CONDITION,ROADWAY_SURFACE_COND,LIGHTING_CONDITION,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,LATITUDE,LONGITUDE,LOCATION,crash_day,weather_unknown_flag,surface_unknown_flag
9ff7aac407a9688cd3f83f6cf324aa632a0b030c50c51efb23ab4ce27d3884a8808f37b63a2287a1cf4055a6ed2018baaa390e231f785bacbe28e7bcaeb6d5e2,2025-06-25 21:30:00,BLOWING SNOW,DRY,DAYLIGHT,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,41.749362768,-87.605332981,POINT (-87.605332981011 41.749362768013),2025-06-25,0,0
23b1564765bfe4876a486d4302f743d83f13b19c8ea5966c79703598ce493df2a1830fb4a035612893bd245c769b030bdf8c6a12e4214a9af882c3c5f4a5f892,2025-06-08 18:30:00,FREEZING RAIN/DRIZZLE,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,5.0,0.0,41.8541331042,-87.6427187382,POINT (-87.642718738212 41.854133104205),2025-06-08,0,0
14089f0a929db69c4cd3ce4678d92cec113ddb27c47c33b8a480b00b73355ddd398df81e893257ac28bd0c7771b8a33524e4f5287decc8176207fb02e41cc25c,2025-05-28 07:38:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.7358828635,-87.6629207312,POINT (-87.66292073121 41.735882863533),2025-05-28,0,0
a6367b1dec9106617d6e4e7b1c37c0f47f6d5757f6e6661076c1c8f7c7562c000ee92ff04276f689cb9614417e4eb569dbcfc863af3ac6bcf381186dd3cac4c3,2025-05-21 16:30:00,FREEZING RAIN/DRIZZLE,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,41.6910171166,-87.7201592071,POINT (-87.720159207106 41.691017116554),2025-05-21,0,0
19ec45fc28abafe143169d1410c495f754d069d09759afc3494d3a2b74496610756ff2a75a8022d3cdd6abc957f0d43959a9150deedcbab468ae82c9e02baf18,2025-05-19 10:03:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.7357852665,-87.6437588296,POINT (-87.643758829628 41.735785266472),2025-05-19,0,0
075b1992233dc8a26b08f952e2cb93ad86026e5dbd49804f9bfdf7cc5e77f182513421e5defaf6d607d5d28eb819dd6c4d6cd80593eed819303c4b5fcd249281,2025-04-29 17:15:00,SNOW,DRY,DAYLIGHT,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,2.0,0.0,41.7952959821,-87.7034649215,POINT (-87.703464921522 41.795295982115),2025-04-29,0,0
c5300c71ce41dda47f19fe04f5199ad2b8abad5d4b4e81a429722249ba12c871aa21ddd987e991d03663409b8ce18c396efbbdad5a406a826edf8bbcf02812a3,2025-04-26 12:10:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.9007837799,-87.6281714454,POINT (-87.628171445442 41.900783779921),2025-04-26,0,0
722198d7255e5946a216ece08f5c1288387024a34667f729028eef9648509db1eb4f5dd3cb961f7e44fda8e6fae787b2c3161a12817d91ee90768a7f51ff279e,2025-04-05 04:42:00,FREEZING RAIN/DRIZZLE,DRY,DARKNESS,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.7481942033,-87.7411584652,POINT (-87.741158465162 41.74819420327),2025-04-05,0,0
21c3a0c59dc2aca23aadf815a75415c09ffd180d364c3f27de8001ecab82be801ae57c2a11029ed88b69fc4ec5c3dcbea97c76046e8b95aa58fdd1bd2d8a34a5,2025-03-01 06:13:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.7616091895,-87.5898098154,POINT (-87.589809815364 41.761609189486),2025-03-01,0,0
a8e22cffb150f53f91ed0abcc28ec22aa1acbb74b3b342d82c4f68f52ffa9982c24ec34461897d1fceb41e866caca2c3c9ac879a0f8b69f1b2b31bd22281ead8,2025-03-01 06:05:00,BLOWING SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.7838773022,-87.6222670574,POINT (-87.622267057444 41.783877302206),2025-03-01,0,0
019e1e1922ffe8635af51747fef619a20d31b4473eefc1196775c8d52b991da1a3ec3e88e289b22ac5977d1fae56c617f3e0020f9821e6c11161c5afabd77b25,2025-03-01 06:00:00,SNOW,DRY,DAWN,nan,,,,,,,,41.8389682193,-87.7047244235,POINT (-87.704724423511 41.838968219323),2025-03-01,0,0
926b17630e653683cb9d5c5a646465acd640f1bed9123014db8a18e2f8a81682ff9edef7ed5c61afddb502ee55c34a8cec5929e31cd7bd53816d8dc2f410be3f,2025-02-23 10:30:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.7602326524,-87.6201137933,POINT (-87.620113793332 41.760232652371),2025-02-23,0,0
cdf00ad83ae351828c0ad2d3a8b0e236516f439b12a5b0cfd035e4271340d7e3888900346619cd9699c55efcf9b9fe373bdf92a7baf5414c333c1b4818468095,2025-02-20 11:50:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.7804036945,-87.6218374892,POINT (-87.62183748917 41.780403694544),2025-02-20,0,0
3037d5c1c79d6bbd0ff4e33a2050e7564e7ef3f52135fb8d2d9ac0dd15cb67bf2f983884a0b0df9e725a2c67f0c9345ae8a30f37ddfac9d3ced06c546d5dd933,2025-02-20 10:00:00,SNOW,DRY,DAYLIGHT,NONINCAPACITATING INJURY,3.0,0.0,0.0,2.0,1.0,0.0,0.0,41.6593684947,-87.5975461382,POINT (-87.597546138193 41.659368494677),2025-02-20,0,0
1e12363e2868e96475eca65800196793cd3e9e0f7b8a8fc1415dcb2af7e41d26098f0316d0b03f03d4b880cb25a857591eaed9b258df7b132e6a1380d17397c7,2025-02-18 04:00:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.9002329054,-87.6838543424,POINT (-87.6838543424 41.900232905352),2025-02-18,0,0
3a6d050a2138f533ca4f53bcaf0756e8aec9078db730d790b32804cffbea3539967b04a62c17d73fbe9c49d70b5cc2045f3269c8b5f479bf5f7ad12710e0daee,2025-02-18 03:53:00,SNOW,DRY,"DARKNESS, LIGHTED ROAD",NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.7519714919,-87.5565595052,POINT (-87.556559505233 41.751971491908),2025-02-18,0,0
d8d8ac56d2ec1e2fcf85648f105d4d152ee40f01ed924a18318d2cbc96565067309ae11eca9e5e66996aad1f7d697f04844a026278837756d6fc08f3321f0b1a,2025-02-15 14:13:00,FREEZING RAIN/DRIZZLE,DRY,DAYLIGHT,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,41.78032875,-87.6157713178,POINT (-87.615771317766 41.780328750022),2025-02-15,0,0
b367c6362e98b844c0cc05f5f684d63cec77465b7682aafc6fa7a47924312fe018b1056623ec5007948a226fdd00924fb16c5e2b1fd2a986caa07963c478f309,2025-02-14 19:30:00,SNOW,DRY,"DARKNESS, LIGHTED ROAD",NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.8722436859,-87.6284845834,POINT (-87.628484583379 41.872243685923),2025-02-14,0,0
d37bf1103dcfc6469c73d2a1f2dd46de8d7e9d4b2aeaa98807c79f0c1e92c0d3186591bcdccb5020e4cec4887dddd9015705fbcdf1ccf575ccb82adbe648f3da,2025-02-14 13:30:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.8783170107,-87.6170521254,POINT (-87.617052125371 41.878317010667),2025-02-14,0,0
c2f45c8d1f1cd97cd162c0bbc1daba01da2d970fa301de82e7df4e3bd2689eb6e2bc4c1ba00f5496655fefbafbeccbc07198d3c0b4e26727fae517292b10798c,2025-02-14 08:45:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.880384176,-87.6767683304,POINT (-87.676768330409 41.880384175957),2025-02-14,0,0
3d46618037b279f517647b5e98855ff63e852232697850122c01f973c4a6bfc583fb78377d1f18fb3755efb60a7678a87228b53c2ff490188e962e34bc5dcf1d,2025-02-13 20:23:00,SNOW,DRY,DARKNESS,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.8912910427,-87.7321414797,POINT (-87.732141479698 41.891291042665),2025-02-13,0,0
78d35f085be8911a64fecb8f2dd45de033360128c06cfdb7d20fc30160fb2c0201b7b8a4fdda826830b05041e8a66389ff1b44a5257df54292cf86bf0a3ca987,2025-02-13 11:20:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.8801371706,-87.6871132753,POINT (-87.687113275304 41.880137170614),2025-02-13,0,0
8b5739b4b84f62b0c2c6ae6156fcba2e3d24575c10b4ee876b7b1af7c829476155514cb6c94980f33a370e2bba0b1f138e6725cbdfcaf495bc78fe65f9987e77,2025-02-12 14:30:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.7656851044,-87.610365199,POINT (-87.610365199016 41.765685104445),2025-02-12,0,0
64c56b87112b6d4120690fa8cecb5febf715f6cb03e699f9909e909682bc9d5d122f9177c0a7ca0d5321cf31a649b8562bdcc743bf5f7f2e4965895f6bf537c3,2025-02-12 14:20:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.8917245906,-87.631987765,POINT (-87.631987764955 41.89172459059),2025-02-12,0,0
afc67ec4559f206f5a86ec4e4d05b029114926f5f6ac841543bfcc15f55195377dd8b3a3ca8efb240a1abd95d4e86671c4e3b657c879e710466aa6bd4f7b47ca,2025-02-12 13:30:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.9542674497,-87.6623749834,POINT (-87.662374983413 41.954267449677),2025-02-12,0,0
79ff8a4cca4d00ab19ff6b09231bf6e4d47fa502fa62f8ee11a9f5a6b9c9abd1c7bb9c50852dc4cd1f4ec1416070fef28279c42a3cae4e49c27c8a0ba9faf7a6,2025-02-11 09:49:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.8841112673,-87.6325763852,POINT (-87.632576385239 41.884111267334),2025-02-11,0,0
e02bdaf776b7651993f36cf6de3a102e52752924f9b5c1feecbf36dc6749eacc49d1799cef6551d602f41ba891401035dbb250d4ce9a189216cf44b7ce33b375,2025-02-06 08:16:00,SLEET/HAIL,DRY,DAWN,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.9660773633,-87.7364676681,POINT (-87.736467668069 41.966077363322),2025-02-06,0,0
7c78b9c9fa21d1afc3ef95df44fc5485329258f3ed0edbecb0f2bc2beeea21f644d57552204f29904b801327e2dad1f490390c5c373c748bd8db2cbceeab0e60,2025-02-06 06:40:00,FREEZING RAIN/DRIZZLE,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,5.0,0.0,41.8274819584,-87.6145826195,POINT (-87.61458261955 41.827481958389),2025-02-06,0,0
f1e6fde1c3f33f03a42ca3114e0fd405630e1aff3ca9262344642a2238eb9a3be16d6d5f4c6c9ada1c2ff482f723b41a13d01c73df8b507e1723a9c16da67d51,2025-02-05 20:00:00,FREEZING RAIN/DRIZZLE,DRY,"DARKNESS, LIGHTED ROAD",NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.7796265628,-87.6045748783,POINT (-87.604574878322 41.779626562796),2025-02-05,0,0
3f421bd59b6606f221f70444156035f9345129940841b330b1cd580985ddb0a7ff0ccb08739fa8b9baf35c72853694aed90552dc85d1716bef3957500b717f82,2025-02-04 13:30:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.9673848955,-87.7412886254,POINT (-87.741288625383 41.967384895538),2025-02-04,0,0
a6ddbe4d25e94336e2a2368f1ecbda719df078e6a096eb4b52891012bc7908698c2ee9a096fa82085e47deb3a90b406ed3b34a5f805542fb47372c2b56ab6da6,2025-01-26 15:41:00,SNOW,DRY,DAYLIGHT,"REPORTED, NOT EVIDENT",2.0,0.0,0.0,0.0,2.0,1.0,0.0,41.7659281922,-87.5864700779,POINT (-87.586470077922 41.76592819222),2025-01-26,0,0
4b67be9f66d14ad32a72823106954e32311cee2d30f0f7499a69f5ab27d672a6becf700bd1e28bbcbc4b6f2ae00995becf1282603faa475f026dc1c53f30edc3,2025-01-24 14:00:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,41.7776524802,-87.6157078439,POINT (-87.615707843933 41.777652480246),2025-01-24,0,0
4b019bdf41f0b334421a2e5fb903d383ac9aeeeb9efdb6183a4756bf9f6aee60e1fbd1556a729fbc51f5da91da81397e5b0fda61b7723e51fcd1271da18d2dc5,2025-01-24 08:25:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,41.9585298411,-87.6887468192,POINT (-87.688746819185 41.958529841113),2025-01-24,0,0
09dbc09e3d5d9b8037de05a00c9428792d1f6729d613542479aeb1f1a2e36ef878eccbe7605236c954fe14834324e46a60a024f7d46619d96ea330fd82bb4dfa,2025-01-22 09:05:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.9821711731,-87.7876916991,POINT (-87.787691699146 41.982171173088),2025-01-22,0,0
5d51a7db0e14185e283153890596f27c86ceb44b3957a3b3d89d56f84a2394b20a77a7d602ddce762d48643c3972737691339c0713991a6c149b9ac6a509ef72,2025-01-22 08:45:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.7220098271,-87.6136667201,POINT (-87.613666720123 41.722009827082),2025-01-22,0,0
b40956d7d8659b0015753a564930c094eaf05494a5b8bdac076cf9b34209c8d0b042dcd22987054771db6a62c6ef46ed1573dfb7fe58916181cc13c1294d17a2,2025-01-21 01:37:00,SNOW,DRY,DARKNESS,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.8877917048,-87.6110520461,POINT (-87.611052046122 41.887791704836),2025-01-21,0,0
99da86626240c66ca4a11cde03a4238bdd706b3a0446fd47f05f46316911a66c26a771a228db101b0b1418dcf1ce5bd719f3f7cd28f8e738c6fa91efeb265746,2025-01-15 18:49:00,SNOW,DRY,DUSK,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.7801467466,-87.6219009092,POINT (-87.621900909245 41.780146746557),2025-01-15,0,0
9003d73bcefbf452370baf86f0110595ad611c93ac21d30936a5a704b203f3d640fc8a7fb25d19c9bb8fbdde4b45d02993ab1a4f7417b9989a0b822018ac91cf,2025-01-15 09:29:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.7649091312,-87.660725369,POINT (-87.660725368957 41.764909131213),2025-01-15,0,0
18e140f863c786a227768d7739ce2538984afc62b800273f859484bfe3a1cb77ef341ec5b71a3b6ee1c0a6f0dc60ecb4b59f3de92582a540710cead07070d223,2025-01-14 17:30:00,SNOW,DRY,DAYLIGHT,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,41.9272015193,-87.7120318682,POINT (-87.71203186824 41.927201519322),2025-01-14,0,0
8bdecd187186eced8b33f8957b01bd93cb4bc0bdb12ced1f0622ba0e6616f8ea81f550cde3fd53a246036fb204b531958f3d7d682ad9d5622893ec1e045a5782,2025-01-14 06:50:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.7515707515,-87.7025928627,POINT (-87.702592862696 41.751570751478),2025-01-14,0,0
ed3aa68e44d0c0465faade5b9d56fe677b822ae5d1f02e364fe417848c925a3efcca964cac05337c6b654a7528b37596e751a8d6f5d8fe01a3cb5cbae6af5b0a,2025-01-13 14:55:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,5.0,0.0,41.7825546294,-87.5880254241,POINT (-87.588025424135 41.782554629421),2025-01-13,0,0
b625688667a13c6aacf28131f227b264d54dc6d8316b7ceb46d53fd316f516e5b2f26a23ddb7fa588292a767b78aa2bd1f2325ae46dfeee46ca3229b0d1a9987,2025-01-13 08:13:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.7677789619,-87.7226331496,POINT (-87.722633149647 41.767778961915),2025-01-13,0,0
5c5609b7aa1211139fd24ac1519aab85554d62729f043b59027e494b25a0ef09fc1d562ae2d66648e545e931fe768ae61c3043ae1b584a7c803c9b5902e0aaf2,2025-01-13 07:47:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.7658812858,-87.7225871577,POINT (-87.722587157729 41.76588128582),2025-01-13,0,0
43d4a5e1066079a47679535404dfd7fa213e52e53616dba7c5f8212f12841995fe5a8e18fd918bb926ede6d6d4fb053ddc6048bf1e6fcac158e7d39aef01a3c9,2025-01-11 22:00:00,SNOW,DRY,"DARKNESS, LIGHTED ROAD",NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.8924918716,-87.647463879,POINT (-87.647463878981 41.892491871587),2025-01-11,0,0
1e83d368edadb560a7d42c51cda472008957413c0c65396de51c47c8f0941a30d613e8d15df3c246b610ff5d7c09cdcb8658ab9f92419850e9b2ff754e8a91b4,2025-01-11 17:12:00,SNOW,DRY,DUSK,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,41.7748782269,-87.6153469558,POINT (-87.61534695576 41.774878226923),2025-01-11,0,0
7979501bc9159e419921e50ae0223b2378fd50b4e9dea987411f4cedb5ffc42996bd0a4ad3e30da9fdc4f57dde859676848b77cc4dbcd959c22442b868c3c73b,2025-01-11 11:13:00,SNOW,DRY,DAYLIGHT,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,41.9249707016,-87.648306568,POINT (-87.648306567975 41.924970701649),2025-01-11,0,0
b34b8d607851c87d18eccf169a3d85e858d842771724a1be8abc2a2a2d3e6a5af283b16419f0c09f1d1ad13b3acbc8db769cbd6fa409d53dcd684aa60e501c4b,2025-01-11 02:25:00,SNOW,DRY,DARKNESS,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.7561999951,-87.6264736817,POINT (-87.626473681658 41.756199995105),2025-01-11,0,0
324c6454537c1ccbb77ac96748cfaf54bc4aea5d6d2a9fb2adda937514c401c12dcfa454f69d51cbe2227cba9ddce3999638282c785b673a99c9d6475fb84845,2025-01-10 18:45:00,SNOW,DRY,DUSK,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.9351977041,-87.661079364,POINT (-87.661079363975 41.935197704068),2025-01-10,0,0
ed95df3eac54633afa7c8aad115779f50cb810697c822bff6ea5d02486fac946c8fd88fadf3599b7b0eb4731166d27f3da8a19142613bdc511332f4fb97c4a74,2025-01-10 14:09:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.9190652468,-87.6873120451,POINT (-87.687312045148 41.919065246767),2025-01-10,0,0
f4c697f36df1f4d79656abf320cf6aa8ae4c958f321fa118a9d14adc59e4fa2aef5cc88d9ab527ab08adfc06b970b3fd67db0cad3445718f9e5a247fe1983ac8,2025-01-10 09:10:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.9462213623,-87.6686950147,POINT (-87.668695014695 41.946221362313),2025-01-10,0,0
75005078029ec31d20056afd5cbf1aff8cdaef4eb924cc4410dba40fd744bbda3a9a6e803c3c46999387eae14203b3171609b9f12b295f49c67a9d87338315d0,2025-01-10 08:25:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,41.7862960144,-87.693651826,POINT (-87.693651826029 41.78629601441),2025-01-10,0,0
6d46506171c1f5c4a230bc3bf7be8657b64a9532cd23618ce2c7d9cc495be3810598ed0f0e930a3f828c46d8f1c5498c5ef175088ec23a239f7899c5ad089ceb,2025-01-10 07:15:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.8816311369,-87.6495475985,POINT (-87.649547598471 41.881631136866),2025-01-10,0,0
e80387fa3fc43b91d6a5374390cf63706c70f3e513240667c08d6c5fb359b2bd1cef7be7ec7a7f4af931b7d03bfd7050a18d3afd73caa7596bc32fba4b939eef,2025-01-10 06:00:00,SNOW,DRY,DAWN,"REPORTED, NOT EVIDENT",2.0,0.0,0.0,0.0,2.0,0.0,0.0,41.8843721361,-87.6425852468,POINT (-87.6425852468 41.884372136115),2025-01-10,0,0
f600980cd03423e8c48f700885a4b88b4ad7a83a21fc28e7e82d8f242ddf3c58c9e9a01189a308fc281d2e28cc6a6349075a3e1a17687e7fa26d406323b677a7,2025-01-06 14:00:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.9513543451,-87.6596830247,POINT (-87.65968302474 41.951354345127),2025-01-06,0,0
c50af0649caeda468b8e350287f149dceedcf2cc875570520e866699314e33ea7345cbc21f6b1e5b4a8232af400a52005fe27b96174bcd02ead0ebee54ec9185,2025-01-06 12:00:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.8958682737,-87.7296487972,POINT (-87.729648797187 41.895868273705),2025-01-06,0,0
b2f907960c00e4cb71aea0533a4905d9c5adc58e50eb3b10dff083bbb3c8ac7611d8b6307f918064af674ce7f742110529404f1c6038974aab15e2d21f42358e,2025-01-02 17:09:00,SNOW,DRY,"DARKNESS, LIGHTED ROAD","REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,41.8667583434,-87.6834698385,POINT (-87.683469838532 41.866758343433),2025-01-02,0,0
0447f3788d8cade4b42c581ee3de660ce6b9f46b185f15387fa4be213f052a2aced3a160dfbb2ebe045b1db5c4d7d3681df2b67b4b2ab187a4f0195c830421e6,2025-01-01 21:00:00,SNOW,DRY,"DARKNESS, LIGHTED ROAD",NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,4.0,0.0,41.9980762685,-87.6764114393,POINT (-87.676411439287 41.998076268535),2025-01-01,0,0
